,City,Country,Lat,Lng,Humidity,Cloudiness,Max Temperature,Wind Speed,Date
0,Barrow,US,71.2906,-156.7887,87,90,39.22,10.36,1628289904
1,Vao,NC,-22.6667,167.4833,60,69,67.77,12.17,1628290402
2,Ahipara,NZ,-35.1667,173.1667,77,72,57.94,17.29,1628290007
3,Atuona,PF,-9.8,-139.0333,77,17,78.31,18.25,1628289865
4,New Norfolk,AU,-42.7826,147.0587,65,100,52.92,4.0,1628289913
5,São João da Barra,BR,-21.6403,-41.0511,70,100,68.09,7.92,1628290336
6,Miura,JP,35.14,139.6192,77,100,87.98,8.37,1628290411
7,Aurangabad,IN,19.8833,75.3333,85,14,73.06,9.78,1628290413
8,Zyryanka,RU,65.75,150.85,70,97,53.51,8.16,1628290414
9,Bredasdorp,ZA,-34.5322,20.0403,94,0,54.72,2.3,1628290030
10,Hofn,IS,64.2539,-15.2082,88,90,51.62,2.62,1628290417
11,Cherskiy,RU,68.75,161.3,70,40,54.09,2.46,1628290241
12,Klaksvík,FO,62.2266,-6.589,97,88,58.12,13.91,1628290311
13,Poum,NC,-20.2333,164.0167,60,92,68.27,5.73,1628290371
14,Rikitea,PF,-23.1203,-134.9692,75,12,74.57,13.89,1628289898
15,Udachny,RU,66.4167,112.4,59,96,54.5,16.04,1628290424
16,Tuatapere,NZ,-46.1333,167.6833,77,100,38.82,13.85,1628290210
17,Ilulissat,GL,69.2167,-51.1,85,100,39.34,7.14,1628290427
18,Mataura,NZ,-46.1927,168.8643,94,100,38.48,9.31,1628289893
19,La Peca,PE,-5.6111,-78.435,54,22,76.95,4.85,1628290430
20,Hobart,AU,-42.8794,147.3294,66,75,53.26,10.0,1628289896
21,Seoul,KR,37.5683,126.9778,83,20,76.6,5.75,1628290418
22,Albany,US,42.6001,-73.9662,64,25,84.15,1.61,1628289844
23,Yellowknife,CA,62.456,-114.3525,43,75,74.28,6.91,1628290340
24,Fort-Shevchenko,KZ,44.5086,50.263,47,0,82.98,17.38,1628290437
25,Berlevåg,NO,70.8578,29.0864,77,50,54.68,11.43,1628290312
26,Thompson,CA,55.7435,-97.8558,37,90,71.76,3.44,1628290031
27,Vaini,TO,-21.2,-175.2,78,20,77.16,12.66,1628289934
28,Busselton,AU,-33.65,115.3333,72,46,53.04,15.35,1628290278
29,Kanniyākumāri,IN,8.0833,77.5667,79,100,79.34,22.39,1628290444
30,Kissimmee,US,28.3047,-81.4167,67,40,93.45,0.0,1628290378
31,Lebu,CL,-37.6167,-73.65,88,100,49.46,3.8,1628290002
32,Kununurra,AU,-15.7667,128.7333,27,99,64.38,8.05,1628290360
33,Nipawin,CA,53.3668,-104.0009,57,1,80.64,11.5,1628290414
34,East London,ZA,-33.0153,27.9116,73,80,61.29,6.22,1628290313
35,Butaritari,KI,3.0707,172.7902,62,2,84.06,10.4,1628290314
36,Makakilo City,US,21.3469,-158.0858,51,1,86.32,13.8,1628290060
37,Carnarvon,AU,-24.8667,113.6333,58,90,66.27,12.66,1628290026
38,Jamestown,US,42.097,-79.2353,57,40,81.72,9.22,1628290100
39,Isangel,VU,-19.55,169.2667,73,40,73.51,6.91,1628290460
40,Kavieng,PG,-2.5744,150.7967,71,96,84.13,11.68,1628290059
41,Upernavik,GL,72.7868,-56.1549,89,100,42.93,6.64,1628290062
42,Waingapu,ID,-9.6567,120.2641,72,62,76.84,13.6,1628290465
43,Narsaq,GL,60.9167,-46.05,64,9,50.05,1.28,1628290446
44,Amapá,BR,1.0,-52.0,92,77,73.9,2.15,1628290210
45,Hasaki,JP,35.7333,140.8333,85,58,84.29,8.03,1628290377
